ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
GO:0140053	mitochondrial gene expression	54/1665	162/12927	1.13432454598148e-11	2.89406177088888e-08	2.71705923451009e-08	ENSG00000074071/ENSG00000086504/ENSG00000099821/ENSG00000100601/ENSG00000103356/ENSG00000106105/ENSG00000106591/ENSG00000107815/ENSG00000111639/ENSG00000112110/ENSG00000113048/ENSG00000114686/ENSG00000118689/ENSG00000126814/ENSG00000128626/ENSG00000130348/ENSG00000132591/ENSG00000132676/ENSG00000134056/ENSG00000135297/ENSG00000136270/ENSG00000136522/ENSG00000137547/ENSG00000143314/ENSG00000143374/ENSG00000143436/ENSG00000146282/ENSG00000155463/ENSG00000156502/ENSG00000156928/ENSG00000167862/ENSG00000170445/ENSG00000172172/ENSG00000172586/ENSG00000172590/ENSG00000175110/ENSG00000175756/ENSG00000177192/ENSG00000178952/ENSG00000179271/ENSG00000181991/ENSG00000182180/ENSG00000183978/ENSG00000239789/ENSG00000242485/ENSG00000259494/ENSG00000262814/ENSG00000055950/ENSG00000082515/ENSG00000072756/ENSG00000108064/ENSG00000125445/ENSG00000120832/ENSG00000154719	54	671
GO:0006397	mRNA processing	112/1665	464/12927	1.18730739318518e-11	2.89406177088888e-08	2.71705923451009e-08	ENSG00000065883/ENSG00000067596/ENSG00000076924/ENSG00000082516/ENSG00000086589/ENSG00000088247/ENSG00000090470/ENSG00000091009/ENSG00000099622/ENSG00000099817/ENSG00000100461/ENSG00000100462/ENSG00000100603/ENSG00000100722/ENSG00000100813/ENSG00000102978/ENSG00000103549/ENSG00000104897/ENSG00000105248/ENSG00000105258/ENSG00000105298/ENSG00000105618/ENSG00000106355/ENSG00000107951/ENSG00000108883/ENSG00000111786/ENSG00000113141/ENSG00000113593/ENSG00000114503/ENSG00000117751/ENSG00000119953/ENSG00000122692/ENSG00000122882/ENSG00000122965/ENSG00000125651/ENSG00000125970/ENSG00000126254/ENSG00000126461/ENSG00000126653/ENSG00000126698/ENSG00000130332/ENSG00000131652/ENSG00000132600/ENSG00000133226/ENSG00000134058/ENSG00000134453/ENSG00000135316/ENSG00000136270/ENSG00000137574/ENSG00000137776/ENSG00000140259/ENSG00000140829/ENSG00000142252/ENSG00000143368/ENSG00000145833/ENSG00000146007/ENSG00000146457/ENSG00000148843/ENSG00000151657/ENSG00000153015/ENSG00000153914/ENSG00000157540/ENSG00000159140/ENSG00000160075/ENSG00000161265/ENSG00000161981/ENSG00000163125/ENSG00000163156/ENSG00000163882/ENSG00000164609/ENSG00000165630/ENSG00000165934/ENSG00000166477/ENSG00000167005/ENSG00000168438/ENSG00000169217/ENSG00000169371/ENSG00000169976/ENSG00000170860/ENSG00000170892/ENSG00000172062/ENSG00000175756/ENSG00000180917/ENSG00000182173/ENSG00000183258/ENSG00000183684/ENSG00000184209/ENSG00000189091/ENSG00000196235/ENSG00000198783/ENSG00000205937/ENSG00000213079/ENSG00000248333/ENSG00000004487/ENSG00000039123/ENSG00000006712/ENSG00000021776/ENSG00000075856/ENSG00000020426/ENSG00000092208/ENSG00000103067/ENSG00000105323/ENSG00000095485/ENSG00000061936/ENSG00000111880/ENSG00000049883/ENSG00000033030/ENSG00000141543/ENSG00000143294/ENSG00000134597/ENSG00000070495/ENSG00000169813	112	671
GO:0022613	ribonucleoprotein complex biogenesis	105/1665	445/12927	2.19830124224715e-10	2.67917963898871e-07	2.51531942139226e-07	ENSG00000007520/ENSG00000053372/ENSG00000073536/ENSG00000076924/ENSG00000082516/ENSG00000086189/ENSG00000087263/ENSG00000099622/ENSG00000100462/ENSG00000104131/ENSG00000104897/ENSG00000105618/ENSG00000106263/ENSG00000107937/ENSG00000108651/ENSG00000111786/ENSG00000112159/ENSG00000119616/ENSG00000120314/ENSG00000122687/ENSG00000123064/ENSG00000125107/ENSG00000126749/ENSG00000129347/ENSG00000129460/ENSG00000130811/ENSG00000131653/ENSG00000132341/ENSG00000132591/ENSG00000132600/ENSG00000132603/ENSG00000134001/ENSG00000135521/ENSG00000136045/ENSG00000136271/ENSG00000137574/ENSG00000137876/ENSG00000139726/ENSG00000140598/ENSG00000141076/ENSG00000141101/ENSG00000142252/ENSG00000143319/ENSG00000145912/ENSG00000147679/ENSG00000148688/ENSG00000148843/ENSG00000150990/ENSG00000152464/ENSG00000156697/ENSG00000156928/ENSG00000160214/ENSG00000160256/ENSG00000164338/ENSG00000164609/ENSG00000165271/ENSG00000165630/ENSG00000165732/ENSG00000166133/ENSG00000166197/ENSG00000167005/ENSG00000167272/ENSG00000169217/ENSG00000169371/ENSG00000170860/ENSG00000171311/ENSG00000172062/ENSG00000175054/ENSG00000177971/ENSG00000178982/ENSG00000179151/ENSG00000181991/ENSG00000182117/ENSG00000182810/ENSG00000183207/ENSG00000183751/ENSG00000184967/ENSG00000185163/ENSG00000188976/ENSG00000197498/ENSG00000204842/ENSG00000242485/ENSG00000257103/ENSG00000273611/ENSG00000273841/ENSG00000039123/ENSG00000037241/ENSG00000082515/ENSG00000066654/ENSG00000075856/ENSG00000080824/ENSG00000055483/ENSG00000092208/ENSG00000089737/ENSG00000085721/ENSG00000061936/ENSG00000111641/ENSG00000048162/ENSG00000058729/ENSG00000096717/ENSG00000125445/ENSG00000141543/ENSG00000143303/ENSG00000142207/ENSG00000164346	105	671
GO:0010498	proteasomal protein catabolic process	105/1665	451/12927	4.9618676171652e-10	4.14641695306269e-07	3.89281963010344e-07	ENSG00000011275/ENSG00000070423/ENSG00000072803/ENSG00000078304/ENSG00000080815/ENSG00000089053/ENSG00000092871/ENSG00000095787/ENSG00000099341/ENSG00000099804/ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100897/ENSG00000100902/ENSG00000100911/ENSG00000103035/ENSG00000103266/ENSG00000103429/ENSG00000103549/ENSG00000104343/ENSG00000104969/ENSG00000105325/ENSG00000105723/ENSG00000106588/ENSG00000107341/ENSG00000107566/ENSG00000107669/ENSG00000107829/ENSG00000108094/ENSG00000108671/ENSG00000109079/ENSG00000111667/ENSG00000113194/ENSG00000113851/ENSG00000114062/ENSG00000114098/ENSG00000116288/ENSG00000119682/ENSG00000128731/ENSG00000131467/ENSG00000132581/ENSG00000134109/ENSG00000137055/ENSG00000141551/ENSG00000141552/ENSG00000145868/ENSG00000146535/ENSG00000148719/ENSG00000159352/ENSG00000159377/ENSG00000159459/ENSG00000159461/ENSG00000160087/ENSG00000162032/ENSG00000164615/ENSG00000165280/ENSG00000165525/ENSG00000166170/ENSG00000166233/ENSG00000166295/ENSG00000167196/ENSG00000168591/ENSG00000170633/ENSG00000172775/ENSG00000174013/ENSG00000175166/ENSG00000180008/ENSG00000180901/ENSG00000182087/ENSG00000182446/ENSG00000182979/ENSG00000187555/ENSG00000188612/ENSG00000196510/ENSG00000197579/ENSG00000198252/ENSG00000198373/ENSG00000198862/ENSG00000215114/ENSG00000256061/ENSG00000273841/ENSG00000034713/ENSG00000014123/ENSG00000008018/ENSG00000013275/ENSG00000066427/ENSG00000049167/ENSG00000072609/ENSG00000099364/ENSG00000050130/ENSG00000092010/ENSG00000103264/ENSG00000110801/ENSG00000013561/ENSG00000113558/ENSG00000009830/ENSG00000096717/ENSG00000079999/ENSG00000107404/ENSG00000041357/ENSG00000033800/ENSG00000142208/ENSG00000170881	105	671
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	96/1665	400/12927	5.10328240376946e-10	4.14641695306269e-07	3.89281963010344e-07	ENSG00000011275/ENSG00000070423/ENSG00000072803/ENSG00000078304/ENSG00000080815/ENSG00000089053/ENSG00000092871/ENSG00000095787/ENSG00000099341/ENSG00000099804/ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100897/ENSG00000100902/ENSG00000100911/ENSG00000103035/ENSG00000103266/ENSG00000103429/ENSG00000104343/ENSG00000104969/ENSG00000105325/ENSG00000105723/ENSG00000106588/ENSG00000107341/ENSG00000107566/ENSG00000107829/ENSG00000108094/ENSG00000108671/ENSG00000109079/ENSG00000111667/ENSG00000113194/ENSG00000113851/ENSG00000114062/ENSG00000114098/ENSG00000116288/ENSG00000119682/ENSG00000128731/ENSG00000131467/ENSG00000134109/ENSG00000137055/ENSG00000141551/ENSG00000141552/ENSG00000145868/ENSG00000146535/ENSG00000148719/ENSG00000159352/ENSG00000159377/ENSG00000159459/ENSG00000159461/ENSG00000160087/ENSG00000162032/ENSG00000164615/ENSG00000165280/ENSG00000165525/ENSG00000166170/ENSG00000166233/ENSG00000166295/ENSG00000167196/ENSG00000168591/ENSG00000170633/ENSG00000174013/ENSG00000175166/ENSG00000180008/ENSG00000180901/ENSG00000182446/ENSG00000182979/ENSG00000187555/ENSG00000188612/ENSG00000196510/ENSG00000197579/ENSG00000198252/ENSG00000198373/ENSG00000198862/ENSG00000215114/ENSG00000273841/ENSG00000014123/ENSG00000008018/ENSG00000013275/ENSG00000066427/ENSG00000049167/ENSG00000072609/ENSG00000099364/ENSG00000050130/ENSG00000092010/ENSG00000103264/ENSG00000110801/ENSG00000013561/ENSG00000113558/ENSG00000096717/ENSG00000079999/ENSG00000107404/ENSG00000041357/ENSG00000033800/ENSG00000142208	96	671
GO:0070125	mitochondrial translational elongation	34/1665	88/12927	9.40701633553497e-10	5.14454163629901e-07	4.82989841503441e-07	ENSG00000074071/ENSG00000086504/ENSG00000106591/ENSG00000111639/ENSG00000112110/ENSG00000113048/ENSG00000114686/ENSG00000128626/ENSG00000132591/ENSG00000132676/ENSG00000134056/ENSG00000136522/ENSG00000137547/ENSG00000143314/ENSG00000143436/ENSG00000155463/ENSG00000167862/ENSG00000172172/ENSG00000172586/ENSG00000172590/ENSG00000175110/ENSG00000175756/ENSG00000178952/ENSG00000179271/ENSG00000181991/ENSG00000182180/ENSG00000239789/ENSG00000242485/ENSG00000259494/ENSG00000262814/ENSG00000055950/ENSG00000082515/ENSG00000125445/ENSG00000154719	34	671
GO:0007005	mitochondrion organization	111/1665	494/12927	1.42054997451375e-09	6.29561920523139e-07	5.91057539635003e-07	ENSG00000057663/ENSG00000070770/ENSG00000099800/ENSG00000099821/ENSG00000100575/ENSG00000103423/ENSG00000105197/ENSG00000105401/ENSG00000105723/ENSG00000107815/ENSG00000107959/ENSG00000110931/ENSG00000112695/ENSG00000113845/ENSG00000114867/ENSG00000115286/ENSG00000116288/ENSG00000116688/ENSG00000119705/ENSG00000122386/ENSG00000125375/ENSG00000125459/ENSG00000125652/ENSG00000125995/ENSG00000126581/ENSG00000126775/ENSG00000126858/ENSG00000130204/ENSG00000131495/ENSG00000133983/ENSG00000135093/ENSG00000135537/ENSG00000136448/ENSG00000136521/ENSG00000136758/ENSG00000137806/ENSG00000139180/ENSG00000140941/ENSG00000140983/ENSG00000140990/ENSG00000141580/ENSG00000142230/ENSG00000143575/ENSG00000144381/ENSG00000146425/ENSG00000146729/ENSG00000148840/ENSG00000154723/ENSG00000155463/ENSG00000156502/ENSG00000157954/ENSG00000159363/ENSG00000160087/ENSG00000160194/ENSG00000165264/ENSG00000165283/ENSG00000165629/ENSG00000165672/ENSG00000165943/ENSG00000166136/ENSG00000167863/ENSG00000169230/ENSG00000170606/ENSG00000170855/ENSG00000170906/ENSG00000171109/ENSG00000172115/ENSG00000174886/ENSG00000174917/ENSG00000175768/ENSG00000177646/ENSG00000183648/ENSG00000183978/ENSG00000184752/ENSG00000196072/ENSG00000197785/ENSG00000197912/ENSG00000198060/ENSG00000198836/ENSG00000205138/ENSG00000205981/ENSG00000213463/ENSG00000213585/ENSG00000215021/ENSG00000217930/ENSG00000221829/ENSG00000224877/ENSG00000240230/ENSG00000241837/ENSG00000256053/ENSG00000265354/ENSG00000278259/ENSG00000004142/ENSG00000023287/ENSG00000034713/ENSG00000005156/ENSG00000080824/ENSG00000055483/ENSG00000092098/ENSG00000006625/ENSG00000051620/ENSG00000049883/ENSG00000048707/ENSG00000108064/ENSG00000140521/ENSG00000102967/ENSG00000106153/ENSG00000163528/ENSG00000160072/ENSG00000130159/ENSG00000142208	111	671
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	30/1665	83/12927	5.42964093602625e-08	1.47052775350711e-05	1.38058940291474e-05	ENSG00000092853/ENSG00000099341/ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000103035/ENSG00000106588/ENSG00000108671/ENSG00000131467/ENSG00000132612/ENSG00000149930/ENSG00000152942/ENSG00000159147/ENSG00000159352/ENSG00000159377/ENSG00000159593/ENSG00000160551/ENSG00000163781/ENSG00000166140/ENSG00000175166/ENSG00000198783/ENSG00000008018/ENSG00000013275/ENSG00000092010/ENSG00000110801/ENSG00000113558/ENSG00000041357	30	671
GO:0018205	peptidyl-lysine modification	81/1665	352/12927	8.46779568950064e-08	2.17265810454293e-05	2.03977704476171e-05	ENSG00000057663/ENSG00000075188/ENSG00000080603/ENSG00000099381/ENSG00000100483/ENSG00000100603/ENSG00000102900/ENSG00000103037/ENSG00000103275/ENSG00000103510/ENSG00000104885/ENSG00000105229/ENSG00000112701/ENSG00000116288/ENSG00000116539/ENSG00000118894/ENSG00000119231/ENSG00000120071/ENSG00000120253/ENSG00000120616/ENSG00000122390/ENSG00000122515/ENSG00000125450/ENSG00000126261/ENSG00000130816/ENSG00000132471/ENSG00000135341/ENSG00000136045/ENSG00000136243/ENSG00000136518/ENSG00000137133/ENSG00000137815/ENSG00000139718/ENSG00000140382/ENSG00000140395/ENSG00000142230/ENSG00000143379/ENSG00000151445/ENSG00000152455/ENSG00000156983/ENSG00000160294/ENSG00000160741/ENSG00000163348/ENSG00000163904/ENSG00000165671/ENSG00000168137/ENSG00000169375/ENSG00000171148/ENSG00000178691/ENSG00000183207/ENSG00000183495/ENSG00000183955/ENSG00000184056/ENSG00000185787/ENSG00000185917/ENSG00000188612/ENSG00000188976/ENSG00000196591/ENSG00000197579/ENSG00000198728/ENSG00000221926/ENSG00000255302/ENSG00000272333/ENSG00000273841/ENSG00000280789/ENSG00000004487/ENSG00000063176/ENSG00000005339/ENSG00000032219/ENSG00000071655/ENSG00000064961/ENSG00000083444/ENSG00000096717/ENSG00000025293/ENSG00000113648/ENSG00000102974/ENSG00000033800/ENSG00000107077/ENSG00000088305/ENSG00000070495/ENSG00000130024	81	671
GO:0046034	ATP metabolic process	62/1665	249/12927	1.52468335903188e-07	3.37855971603656e-05	3.17192499764145e-05	ENSG00000075188/ENSG00000077463/ENSG00000080815/ENSG00000088682/ENSG00000102900/ENSG00000105953/ENSG00000111669/ENSG00000112695/ENSG00000115286/ENSG00000116288/ENSG00000120253/ENSG00000122882/ENSG00000125375/ENSG00000125450/ENSG00000126267/ENSG00000127540/ENSG00000131143/ENSG00000131174/ENSG00000131495/ENSG00000132436/ENSG00000135537/ENSG00000136243/ENSG00000136521/ENSG00000137806/ENSG00000139180/ENSG00000140990/ENSG00000141568/ENSG00000143252/ENSG00000146729/ENSG00000154723/ENSG00000155085/ENSG00000156515/ENSG00000159322/ENSG00000160194/ENSG00000161999/ENSG00000164405/ENSG00000165264/ENSG00000165280/ENSG00000165283/ENSG00000165609/ENSG00000165629/ENSG00000166136/ENSG00000166855/ENSG00000167863/ENSG00000170906/ENSG00000171314/ENSG00000172115/ENSG00000173614/ENSG00000174886/ENSG00000178741/ENSG00000181192/ENSG00000183648/ENSG00000184752/ENSG00000227345/ENSG00000241837/ENSG00000063176/ENSG00000008130/ENSG00000111640/ENSG00000014919/ENSG00000075399/ENSG00000127184/ENSG00000141959	62	671
